"emp_id","attendance_id","attendance_date","time_in","time_out","late_minutes","undertime_minutes","production_hours","status","absent_reason"
67001515,573243795,"2026-03-02",NULL,NULL,0,0,"0.00","Absent","Vacation Leave"
67001515,574606100,"2026-03-03","07:50:00","17:00:00",0,0,"7.50","Present",NULL
67001515,572702069,"2026-03-04","08:00:00","17:00:00",0,0,"7.50","Present",NULL
67001515,572150416,"2026-03-05","07:43:00","17:00:00",0,0,"7.50","Present",NULL
67001515,579415751,"2026-03-06","07:57:00","17:00:00",0,0,"7.50","Present",NULL
67001515,571791974,"2026-03-09",NULL,NULL,0,0,"0.00","Absent","No Call, No Show"
67001515,572573577,"2026-03-10",NULL,NULL,0,0,"0.00","Absent","Emergency Leave"
67001515,574285297,"2026-03-11","07:57:00","17:00:00",0,0,"7.50","Present",NULL
67001515,576908200,"2026-03-12","07:52:00","17:00:00",0,0,"7.50","Present",NULL
67001515,573220720,"2026-03-13","07:40:00","17:00:00",0,0,"7.50","Present",NULL
67001515,579198654,"2026-03-16","08:27:00","17:00:00",26,0,"7.05","Late",NULL
67001515,574743270,"2026-03-17","07:52:00","17:00:00",0,0,"7.50","Present",NULL
67001515,577589045,"2026-03-18","08:41:00","17:00:00",40,0,"6.82","Late",NULL
67001515,570326213,"2026-03-19","07:58:00","17:00:00",0,0,"7.50","Present",NULL
67001515,572123032,"2026-03-23","07:41:00","17:00:00",0,0,"7.50","Present",NULL
67001515,579771204,"2026-03-24","08:31:00","17:00:00",30,0,"6.98","Late",NULL
67001515,570582903,"2026-03-25","07:50:00","17:00:00",0,0,"7.50","Present",NULL
67001515,578156385,"2026-03-26","07:49:00","17:00:00",0,0,"7.50","Present",NULL
67001515,577420267,"2026-03-27","08:01:00","17:00:00",0,0,"7.48","Present",NULL
67001515,570705906,"2026-03-30","07:55:00","17:00:00",0,0,"7.50","Present",NULL
67001515,571771721,"2026-03-31","07:54:00","17:00:00",0,0,"7.50","Present",NULL
67001701,572096306,"2026-03-02","09:00:00","17:00:00",59,0,"6.50","Late",NULL
67001701,571433783,"2026-03-03","07:47:00","17:00:00",0,0,"7.50","Present",NULL
67001701,575471417,"2026-03-04","07:57:00","17:00:00",0,0,"7.50","Present",NULL
67001701,579994780,"2026-03-05","08:01:00","17:00:00",0,0,"7.48","Present",NULL
67001701,576948038,"2026-03-06","07:51:00","17:00:00",0,0,"7.50","Present",NULL
